11316	4384	23268	30853	10992
7194	29107	9688	22295	32536
30904	9906	3571	1309	19030
31429	25775	15961	24484	28844
9636	398	27791	3236	22114
10021	4815	7946	4737	23055
22411	18072	18214	6749	18379
23135	6996	19870	30625	30596
4344	30972	18455	11962	10930
277	8151	3459	8805	2970
669	32550	31869	24234	13149
16751	1027	23020	19763	26921
31586	25966	32527	12892	3575
29249	22044	6215	20058	26832
17141	28956	19822	8452	17799
2430	5675	16410	27588	31675
6694	6207	3853	16073	23269
26097	31836	10498	23525	1812
29493	25247	10599	2006	10058
1014	32767	8516	12529	23411
24794	1449	6214	5976	7890
5803	26399	20276	12339	24867
28084	10532	20811	31423	9739
5837	17331	7514	25125	26133
13920	7190	12523	8612	8809
3647	9685	32029	10390	19423
28512	18716	15276	6177	26669
10992	9083	5478	3833	5141
9380	24361	4416	13688	22826
26003	21681	27241	1472	26333
11088	22367	30668	8810	7789
14448	14398	8608	31816	7051
7956	12938	5249	635	5033
28719	20290	10395	1473	29871
2859	26714	27476	4387	28160
31854	20253	10034	5140	6359
15330	115	19061	6042	4226
16262	16341	13626	2240	18161
22587	6391	1746	12732	3949
9414	27047	14795	5660	18707
31740	10238	5581	22585	18461
10762	18316	5565	23676	10773
18767	32078	19699	1044	24107
32125	31961	13541	1337	8764
32198	24363	4933	27416	3878
16877	15164	18742	2688	31981
12628	271	18564	16074	21753
27627	19158	14549	3451	21790
13981	29875	17784	28421	27594
26551	12555	7104	17704	24572
19121	1453	19752	10053	13055
17319	29546	30614	24326	1283
3851	7567	16770	327	14769
25739	23237	10152	20312	10364
23398	19018	7897	10628	17832
16694	5951	32084	14764	16666
32202	14917	22615	25028	30911
14392	26881	4189	31477	814
11746	26981	23584	23462	4925
13938	10716	24762	9546	2984
32121	16376	30948	16631	25225
1793	29431	17176	6698	29412
6823	30789	18196	22840	25153
13499	20065	1787	4834	31472
31008	12590	18153	916	8856
21292	7966	18762	32604	5838
7839	5155	18707	8769	22926
16606	23300	26530	25212	16354
2916	21086	8852	2039	19807
28236	2184	30920	26600	25735
14907	26905	19777	27149	13619
23752	24393	31769	2493	7813
11401	1600	7389	14673	29181
20045	7420	3512	28066	16861
5456	32461	19907	443	19467
29418	18692	18169	22339	9252
11051	32211	5284	31888	25266
12867	28632	31289	23309	10852
9137	22236	12219	19079	25116
28522	1039	7959	3782	10043
3003	10285	30859	17170	4129
17138	15779	30676	32346	19640
18059	10504	18946	23511	949
4878	12490	10825	23023	23839
10939	3589	27027	20232	4938
6940	7284	9893	22305	19348
9859	18720	12968	18695	25925
19431	19797	13307	18933	4462
15801	1280	14968	30122	16965
25484	5381	17993	15073	3735
17040	689	12075	13045	1019
8127	28047	19318	26108	19260
3851	26302	1996	27423	27583
28389	8341	21637	19511	20175
28569	30321	25465	4426	802
29763	24013	21994	557	27642
4175	14243	25813	25641	5429
299	18305	7610	24801	19213
17613	17766	7078	24461	569
16624	19546	63	23444	5156
